,Year,Nodes,Edges,Average Degree,Density,Degree Assortativity,Diamenter,Diameter
0,1990.0,197.0,4055.0,20.583756345177665,0.10501916502641666,-0.03503896752955193,,2.0
1,1991.0,195.0,5052.0,25.907692307692308,0.13354480570975416,-0.06116938969535536,,2.0
2,1992.0,216.0,6969.0,32.263888888888886,0.15006459948320414,-0.06634373225798129,,2.0
3,1993.0,218.0,8662.0,39.73394495412844,0.18310573711579928,-0.06622128797998073,,3.0
4,1994.0,218.0,11331.0,51.977064220183486,0.23952564156766584,-0.07629805983804806,,3.0
5,1995.0,218.0,12421.0,56.977064220183486,0.2625671162220437,-0.08131818493097116,,3.0
6,1996.0,214.0,13521.0,63.1822429906542,0.2966302487824141,-0.08211471461653269,,3.0
7,1997.0,214.0,14242.0,66.55140186915888,0.3124478960993375,-0.0804000446365806,,3.0
8,1998.0,214.0,15155.0,70.8177570093458,0.3324777324382432,-0.07349181975807074,,3.0
9,1999.0,215.0,16183.0,75.26976744186047,0.3517278852423386,-0.07376180158315433,,3.0
10,2000.0,230.0,19264.0,83.75652173913043,0.3657490032276438,-0.07193380353537733,,3.0
11,2001.0,230.0,19542.0,84.96521739130435,0.3710271501803683,-0.07303992967978441,,3.0
12,2002.0,230.0,19815.0,86.15217391304348,0.3762103664325043,-0.07365810470970464,,3.0
13,2003.0,230.0,20466.0,88.98260869565217,0.3885703436491361,-0.07227003791624244,,3.0
14,2004.0,230.0,21148.0,91.94782608695652,0.40151889120941714,-0.0707106863950321,,3.0
15,2005.0,231.0,21241.0,91.95238095238095,0.3997929606625259,-0.06937446232636413,,3.0
16,2006.0,231.0,21589.0,93.45887445887446,0.40634293242988895,-0.06847773385994006,,3.0
17,2007.0,231.0,22032.0,95.37662337662337,0.41468097120271036,-0.07180947186621857,,3.0
18,2008.0,231.0,22006.0,95.26406926406926,0.4141916054959533,-0.07083529602285804,,3.0
19,2009.0,231.0,22342.0,96.71861471861472,0.4205157161678901,-0.0709888341349974,,3.0
20,2010.0,231.0,22826.0,98.81385281385282,0.42962544701675137,-0.06828759883481061,,3.0
21,2011.0,233.0,22694.0,97.39914163090128,0.41982388634009177,-0.06929337459575217,,3.0
22,2012.0,234.0,22554.0,96.38461538461539,0.4136678771871905,-0.06923095597872374,,3.0
23,2013.0,235.0,22676.0,96.49361702127659,0.41236588470631025,-0.06550127571268488,,3.0
24,2014.0,234.0,22257.0,95.11538461538461,0.4082205348299769,-0.06345869580856148,,3.0
25,2015.0,234.0,21863.0,93.43162393162393,0.4009940941271413,-0.05968702446432369,,2.0
26,2016.0,234.0,21603.0,92.32051282051282,0.3962253769120722,-0.05747560226656835,,2.0
27,2017.0,234.0,14206.0,60.70940170940171,0.260555372143355,-0.051652035363242185,,3.0
